wine_id,color,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol
w001,red,11.1,0.793,0.4,2.4,0.088,7,84,0.9968,3.71,0.87,10.0
w002,red,11.2,0.301,0.52,8.8,0.044,14,95,0.9968,3.02,1.15,10.0
w003,red,6.5,0.52,0.01,4.1,0.049,16,137,0.9988,3.68,0.64,11.7
w004,red,9.2,0.749,0.22,2.5,0.049,9,23,0.9959,3.13,0.8,9.2
w005,red,8.5,0.194,0.26,7.4,0.063,32,145,0.9994,3.36,0.89,12.1
w006,red,6.0,0.748,0.36,6.5,0.063,29,106,0.9965,3.87,0.82,10.9
w007,red,10.8,0.636,0.14,9.5,0.084,15,128,0.9983,3.58,0.81,12.2
w008,red,6.2,0.632,0.88,2.7,0.085,18,58,0.9957,3.99,0.78,10.6
w009,red,10.9,0.669,0.55,4.2,0.059,24,179,0.9995,3.41,0.76,10.5
w010,red,5.3,0.563,0.89,7.4,0.038,31,68,0.9974,3.98,0.53,13.4
w011,white,8.1,0.773,0.3,1.2,0.045,17,126,0.9984,3.26,1.06,13.1
w012,white,11.0,0.472,0.76,6.2,0.035,26,95,0.9967,3.06,0.74,11.4
w013,white,6.7,0.703,0.78,4.1,0.027,28,39,0.9989,3.29,1.03,11.2
w014,white,9.5,0.77,0.83,8.4,0.069,18,22,0.9972,3.53,0.51,12.2
w015,white,11.6,0.503,0.81,10.0,0.056,24,50,0.9953,3.65,0.82,12.5
w016,white,10.3,0.341,0.7,10.1,0.081,15,91,0.9957,3.45,0.98,9.4
w017,white,11.0,0.777,0.54,7.8,0.068,13,63,0.9988,3.9,0.75,12.3
w018,white,7.2,0.342,0.34,4.8,0.062,7,123,0.9956,3.24,0.68,10.9
w019,white,12.6,0.749,0.05,6.5,0.063,20,79,0.9986,3.43,0.78,9.2
w020,white,7.6,0.514,0.76,5.2,0.035,19,128,0.997,3.93,0.57,12.9
